SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
64750,BEAN BOOZ LED MINION GIFT BOX 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,104.5,Pesos,0,8
102131650,GUMS ENERGETICOS DE COLA + CAFFEINE 45G,DEXTRO,DEXTRO,DEXTRO,100,Pesos,0,8
102131651,GUMS ENERGETICOS DE LIMON + SODIO 45G,DEXTRO,DEXTRO,DEXTRO,100,Pesos,0,8
102131653,GUMS ENERGETICOS DE CEREZA + SODIO 45G,DEXTRO,DEXTRO,DEXTRO,100,Pesos,0,8
63985,2/12-3 OZ JB TINY BEAN MACHINE,GOMITAS,JELLY BELLY,JELLY BELLY,100,Pesos,0,8
BB001,BEBIDA GASEOSA SABOR JENJIBRE 200 ML,BEBIDAS,JELLY BELLY,JELLY BELLY,100,Pesos,16,0
PLAYERA-HA,PLAYERA SELECCION HARIBO,NON FOODS,HARIBO,HARIBO,100,Pesos,16,0
PLAYERA-HA-D,PLAYERA PARA DEGUSTACIONES HARIBO,NON FOODS,HARIBO,HARIBO,100,Pesos,16,0
420T,TOOTSIE ROLL 14G VITROLERO 6/45,DULCES,TUTSI POP,TUTSI POP,99,Pesos,0,8
PLY-HARIBO,PLAYERA HARIBO CUELLO REDONDO,NON FOODS,NON FOODS,HARIBO,98,Pesos,16,0
CHOC3000,MR BEAST 3 PACK CHOCOLATES SURTIDOS,CHOCOLATES,FEASTABLES,FEASTABLES,96,Pesos,0,8
CAP-HARIBO,GORRA HARIBO,NON FOODS,NON FOODS,HARIBO,93,Pesos,16,0
32011K HAR,GOMITAS HAPPY COLA  1Kg.,GOMITAS,HARIBO,HARIBO,85.75,Pesos,0,8
102131098 SP,CARAMELOS DE DEXTROSA SURTIDOS (SPORT TABLETS),DEXTRO,DEXTRO,DEXTRO,85.05,Pesos,0,8
1924,SPINNER RADZ BRANDS,JUGUETES,RADZ BRANDS,RADZ BRANDZ,85,Pesos,16,0
64812,JELLY BELLY BNZA 10 FL S/F GB 4.25 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,85,Pesos,0,8
72528,JELLY BELLY BOLSA 20 SABORES....,GOMITAS,JELLY BELLY,JELLY BELLY,85,Pesos,0,8
8513,TWIST INDIVIDUALES SABORES SURTIDOS 255g,AGRIDULCES,,AMERICAN LICORICE COMPANY,85,Pesos,0,8
FA PALP/6U,FAJILLA TIRAS DELGADAS DE CORAZON DE PALMITO (LINGUINE),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,16,0
PAHP/6U,PALMINI/OA PALMINI TIRAS DELGADAS DE CORAZON DE PALMITO (ANGEL HAIR),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,0,0
PALMP/6U,PALMINI/OA PALMINI PURE DE CORAZON DE PALMITO (MASHED),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,0,0
PALP/6U,PALMINI/OA PALMINI TIRAS DELGADAS DE CORAZON DE PALMITO (LINGUINE),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,0,0
PARP/6U,PALMINI/OA PALMINI CORAZON DE PALMITO (RICE),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,0,0
PLASP/6U,PALMINI/OA PALMINI TIRAS FINAS DE CORAZON DE PALMITO (LASAGNA),PALMINI,OA FOODS LLC,OA FOODS LLC,85,Pesos,0,0
5500,ESTUCHE DE AZUCAR BLANCA 10 PZAS.,AZUCAR,DRYDEN,DRYDEN,84,Pesos,0,8
5501,ESTUCHE DE AZUCAR SABOR CARAMELO 10 PZAS.,AZUCAR,DRYDEN,DRYDEN,84,Pesos,0,8
5502,ESTUCHE DE AZUCAR SABOR AMARETTO 10 PZAS.,AZUCAR,DRYDEN,DRYDEN,84,Pesos,0,8
5503,ESTUCHE DE AZUCAR SABOR AVELLANA 10 PZAS.,AZUCAR,DRYDEN,DRYDEN,84,Pesos,0,8
5504,ESTUCHE DE AZUCAR SABOR MOCCA 10 PZAS.,AZUCAR,DRYDEN,DRYDEN,84,Pesos,0,8
015577-63 STO,CHOCOLATE LECHE MERCI 250GRS,NULL,STORCK,STORCK,83.6,Pesos,0,8
102231247,BEBIDA EN GEL GROSELLA NEGRA 60 ML,DEXTRO,DEXTRO,DEXTRO,83,Pesos,16,0
102231247 SP,BEBIDA EN GEL GROSELLA NEGRA 60 ML,DEXTRO,DEXTRO,DEXTRO,83,Pesos,16,0
102231255,BEBIDA EN GEL TORONJA 60 ML,DEXTRO,DEXTRO,DEXTRO,83,Pesos,16,0
4165,TUTSI POP TIRA EXHIBIDORA 20G 16/24,DULCES,TUTSI POP,TUTSI POP,82,Pesos,0,8
